Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.097200006,1426283914,356485404947,0.019199999
2025-12-31,Blackrock Inc.,0.078600004,1154665731,288597155625,0.0073
2025-12-31,State Street Corporation,0.041100003,604056505,150977884334,0.011
2025-12-31,"Geode Capital Management, LLC",0.024400001,358032517,89486648173,0.0052
2025-12-31,"FMR, LLC",0.0209,307397264,76830872914,0.0137
2025-12-31,Morgan Stanley,0.015700001,230483035,57606930330,0.006
2025-12-31,"Berkshire Hathaway, Inc",0.0155,227917808,56965777487,-0.0432
2025-12-31,JPMORGAN CHASE & CO,0.0154,225419111,56341253153,-0.5237
2025-12-31,Price (T.Rowe) Associates Inc,0.0139,203499482,50862661027,-0.0435
2025-12-31,NORGES BANK,0.013099999,192255086,48052236664,0.0128999995
